project_url,sentimen_score
584,2.571428571
585,2.02
586,2.238095238
587,2.5
588,2.5
589,2.666666667
590,1.6
591,2
592,0
593,3.333333333
594,2.75
595,0
596,2
597,0
598,1.5
599,0
600,3.5
601,0
602,2.666666667
603,0
604,0
605,3
606,2
607,3
608,3
609,3.166666667
610,2.75
611,2.5
612,3
613,0
614,3
615,0
616,0
617,3
618,3.066666667
619,0
620,2.465116279
621,2.571428571
622,0
623,1
624,2.6
625,2
626,0
627,2.75
628,2
629,5
630,2.333333333
631,0
632,0
633,1.5
634,2
635,0
636,2.34375
637,0
638,0
639,3
640,2
641,0
642,3
643,1
644,2.777777778
645,3.333333333
646,2.75
647,0
648,0
649,2
650,0
651,3.5
652,3
653,2.777777778
654,3
655,1
656,1.75
657,0
658,2
659,0
660,2.4
661,3
662,0
663,0
664,2.166666667
665,0
666,0
667,0
668,2
669,0
670,3
671,0
672,0
673,3
674,2.75
675,0
676,3
677,2.4375
678,0
679,2.5
680,0
681,0
682,0
683,0
684,2.888888889
685,0
686,0
687,2.76
688,0
689,2.666666667
690,0
691,2.076923077
692,3.333333333
693,1
694,1
695,0
696,2.666666667
697,0
698,2.222222222
699,2.428571429
700,0
701,2.75
702,0
703,0
704,0
705,0
706,3
707,3
708,0
709,1.5
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,2
718,0
719,2.5
720,2.75
721,3
722,0
723,2
724,0
725,0
726,2.833333333
727,2.076923077
728,0
729,0
730,2
731,2.2
732,3
733,0
734,0
735,0
736,0
737,2.5
738,3
739,0
740,2.16
741,0
742,2.857142857
743,2.16
744,2.8
745,0
746,1.555555556
747,0
748,0
749,2.818181818
750,2.25
751,3.333333333
752,3.066666667
753,0
754,2.785714286
755,0
756,0
757,0
758,2.78125
759,0
760,2.75
761,0
762,1.875
763,0
764,0
765,3
766,2.16
767,2.7
768,3
769,3
770,2.133333333
771,2.272727273
772,3
773,0
774,1
775,2.6
776,0
777,0
778,2.6
779,0
780,2
781,1
782,0
783,2.166666667
784,3
785,2
786,0
787,0
788,1.5
789,0
790,0
791,0
792,0
793,0
794,0
795,2.75
796,1.666666667
797,3
798,0
799,2.5
800,0
801,2.555555556
802,2.666666667
803,0
804,0
805,1
806,1
807,1.428571429
808,1
809,0
810,2.333333333
811,1
812,2.071428571
813,2.4
814,2.75
815,0
816,0
817,0
818,3
819,3
820,3
821,2.4
822,0
823,2.4
824,2.8
825,2
826,0
827,3
828,0
829,0
830,0
831,3.136363636
832,2.5
833,2.666666667
834,0
835,2
836,0
837,2.4
838,3
839,2
840,0
841,2.666666667
842,0
843,2.666666667
844,0
845,4
846,2.285714286
847,0
848,0
849,0
850,3
851,1.333333333
852,0
853,2
854,2
855,0
856,2.666666667
857,2.4
858,3
859,3
860,2.777777778
861,2.714285714
862,1
863,0
864,2.735294118
865,0
866,0
867,0
868,2
