,name,pledged,slug,source_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,friends,is_backing,is_starred,permissions,country,town,location_type,project_url,reward_url
3491,Darkening of Spaces: An Art Installation by Andrew C Zahn,624.0,the-darkening-of-spaces-an-interactive-video-insta,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,PA,1319248825,1.0,624.0,domestic,,,,,US,Philadelphia,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3492,Brite Winter Festival 2011,1199.0,brite-winter-festival-2011,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,OH,1298174417,1.0,1199.0,domestic,,,,,US,Cleveland,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3493,"New Mystics - ""tomb"" revisited",1214.0,new-mystics-tomb-revisited,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,WA,1298080412,1.0,1214.0,domestic,,,,,US,Seattle,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3494,Jazz Funeral For Coney Island,3005.33,jazz-funeral-for-coney-island,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,NY,1298122838,1.0,3005.33,domestic,,,,,US,Coney Island,Suburb,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3495,Escape the Room exhibition catalog/online game,1175.0,escape-the-room-exhibition-catalog-online-game,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,FL,1298502132,1.0,1175.0,domestic,,,,,US,Miami,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3496,Send an Artist to The Arctic,5200.0,send-an-artist-to-the-arctic,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,Svalbard,1299570441,1.0,5200.0,domestic,,,,,SJ,Longyearbyen,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3497,The Evangelists: A Cerebral Experiment in 3D Animation,10571.0,the-evangelists-a-cerebral-experiment-in-3d-animat,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,CA,1301701719,1.0,10571.0,domestic,,,,,US,San Francisco,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3498,I Heart Doomsday: a mixed media installation,590.0,i-heart-doomsday-a-mixed-media-installation,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,NY,1300843575,1.0,590.0,domestic,,,,,US,Ithaca,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3499,The Color Box: Interactive Digital Video Installation,10610.0,the-color-box-interactive-and-immersive-art,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,HI,1304978421,1.0,10610.0,domestic,,,,,US,Haiku,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3500,hyperplex: a liminal space for emergent visual art,1005.0,hyperplex-a-liminal-space-for-emergent-visual-art,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,England,1306944023,1.0,1005.0,domestic,,,,,GB,London,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3501,endarchive,939.0,endarchive,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,NY,1306883580,1.0,939.0,domestic,,,,,US,New York,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3502,Collective Spectra @ Burning Flipside,2075.55,collective-spectra-burning-flipside,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,TX,1305176341,1.0,2075.55,domestic,,,,,US,Austin,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3503,Cute Animal Sticker Set,606.69,cute-animal-sticker-set,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,NV,1312329969,1.0,606.69,domestic,,,,,US,Reno,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3504,Solar Power for a colorfully-animated LED Beacon installation at Burning Man,550.0,solar-power-for-animated-led-beacon-installation-a,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,MN,1279793707,1.0,550.0,domestic,,,,,US,Minneapolis,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3505,The Stroboscope,958.0,the-stroboscope,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,CA,1281826808,1.0,958.0,domestic,,,,,US,Los Angeles,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3506,Life on Loop,5000.0,life-on-loop,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,CA,1287270009,1.0,5000.0,domestic,,,,,US,Los Angeles,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3507,SOTA - a controversial media installation - NYC debut,3338.0,sota-a-controversial-media-installation-nyc-debut,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,NY,1288497634,1.0,3338.0,domestic,,,,,US,Brooklyn,County,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
